City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Quatre Cocos,MU,2022-05-28 04:31:43,-20.2078,57.7625,75.31,70,1,12.21
237,Torbay,CA,2022-05-28 04:31:43,47.6666,-52.7314,39.27,85,75,9.22
238,Kidal,ML,2022-05-28 04:31:43,18.4411,1.4078,88.68,18,23,5.37
239,Natal,BR,2022-05-28 04:31:44,-5.795,-35.2094,75.85,100,75,5.75
240,Kisangani,CD,2022-05-28 04:31:44,0.5167,25.2,69.89,99,100,3.74
241,Xinzhou,CN,2022-05-28 04:31:44,38.4092,112.7333,91.24,16,58,9.37
242,Leningradskiy,RU,2022-05-28 04:31:45,69.3833,178.4167,32.18,95,100,3.56
243,Fengrun,CN,2022-05-28 04:31:45,39.8333,118.1167,97.52,12,30,10.51
244,Pacific Grove,US,2022-05-28 04:31:45,36.6177,-121.9166,57.31,85,100,5.75
245,Vostok,RU,2022-05-28 04:31:45,46.4856,135.8833,63.34,57,89,3.02
246,Luderitz,NA,2022-05-28 04:31:46,-26.6481,15.1594,53.73,86,0,6.98
247,Sokolo,ML,2022-05-28 04:31:46,14.7328,-6.1219,86.25,41,55,9.75
248,Kota Tinggi,MY,2022-05-28 04:31:46,1.7381,103.8999,89.83,60,93,8.01
249,Khuzdar,PK,2022-05-28 04:31:47,27.7384,66.6434,93.43,6,0,11.25
250,Buta,CD,2022-05-28 04:31:47,2.7858,24.73,68.58,100,97,0.94
251,Tiksi,RU,2022-05-28 04:31:47,71.6872,128.8694,32.97,83,100,5.55
252,Cabanas,CU,2022-05-28 04:31:48,22.9758,-82.9219,77.47,77,100,1.86
253,Kolondieba,ML,2022-05-28 04:31:48,11.0882,-6.8926,75.83,74,96,4.21
254,Sayat,TM,2022-05-28 04:31:48,38.7839,63.8803,73.27,27,0,14.16
255,Rio Tercero,AR,2022-05-28 04:31:48,-32.173,-64.1141,50.45,88,92,3.2
256,Kahului,US,2022-05-28 04:31:49,20.8947,-156.47,78.82,71,75,12.66
257,Kaniama,CD,2022-05-28 04:31:49,-7.5667,24.1833,64.09,60,7,4.47
258,Talara,PE,2022-05-28 04:27:18,-4.5772,-81.2719,66.72,80,47,15.37
259,Novooleksiyivka,UA,2022-05-28 04:31:49,46.2269,34.6428,63.27,68,44,14.61
260,Praia Da Vitoria,PT,2022-05-28 04:31:49,38.7333,-27.0667,64.76,94,75,7.02
261,Mackay,AU,2022-05-28 04:26:54,-21.15,149.2,72.81,62,2,5.21
