City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
297,Fuerte Olimpo,PY,-21.0415,-57.8738,62.1,96,100,7.09,2022-05-30 23:23:43,overcast clouds
298,Chongoyape,PE,-6.6406,-79.3892,71.83,68,11,5.21,2022-05-30 23:23:43,few clouds
299,Chilpancingo,MX,17.55,-99.5,77.13,70,100,7.09,2022-05-30 23:23:43,overcast clouds
300,Stege,DK,54.987,12.2846,51.06,83,99,5.68,2022-05-30 23:23:43,overcast clouds
301,Ahuimanu,US,21.4447,-157.8378,83.91,59,20,16.11,2022-05-30 23:23:44,few clouds
302,Manta,EC,-0.95,-80.7333,73.18,83,100,11.5,2022-05-30 23:23:44,overcast clouds
303,Samarai,PG,-10.6167,150.6667,80.94,71,35,8.46,2022-05-30 23:23:44,scattered clouds
304,Carbonia,IT,39.1672,8.5222,70.02,92,49,2.04,2022-05-30 23:23:44,scattered clouds
305,Pokhara,NP,28.2333,83.9833,70.88,77,72,3.8,2022-05-30 23:23:45,broken clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,86,98,22.5,2022-05-30 23:23:45,light rain
307,Doba,TD,8.65,16.85,78.67,62,98,4.41,2022-05-30 23:23:45,overcast clouds
308,Bintulu,MY,3.1667,113.0333,79.21,94,20,2.3,2022-05-30 23:23:46,few clouds
309,Talnakh,RU,69.4865,88.3972,37.29,79,6,4.05,2022-05-30 23:23:46,clear sky
310,Ola,RU,59.5833,151.2833,50.14,77,100,2.66,2022-05-30 23:23:46,overcast clouds
311,Vila,PT,42.0304,-8.1588,52.68,90,100,2.91,2022-05-30 23:23:46,overcast clouds
312,Turbat,PK,26.0023,63.044,82.78,67,0,3.58,2022-05-30 23:23:47,clear sky
313,Pionerskiy,RU,54.9508,20.2275,49.84,87,100,9.51,2022-05-30 23:23:47,overcast clouds
314,Pacific Grove,US,36.6177,-121.9166,78.39,71,40,13.8,2022-05-30 23:23:47,scattered clouds
